team_id,team_name,event_name,date,time,location,player_id,player_first_name,player_last_name,attendance
100,DCSC Select U15,Practice,2024-09-05,6:00pm,Hardy Field,1001,John,Smith,Present
100,DCSC Select U15,Practice,2024-09-05,6:00pm,Hardy Field,1002,Jane,Doe,Present
100,DCSC Select U15,Practice,2024-09-05,6:00pm,Hardy Field,1003,Mike,Johnson,Late
100,DCSC Select U15,Practice,2024-09-05,6:00pm,Hardy Field,1004,Sarah,Williams,Absent
100,DCSC Select U15,Game vs Tigers,2024-09-12,10:00am,Main Stadium,1001,John,Smith,Present
100,DCSC Select U15,Game vs Tigers,2024-09-12,10:00am,Main Stadium,1002,Jane,Doe,Present
100,DCSC Select U15,Game vs Tigers,2024-09-12,10:00am,Main Stadium,1003,Mike,Johnson,Present
100,DCSC Select U15,Game vs Tigers,2024-09-12,10:00am,Main Stadium,1004,Sarah,Williams,Injured
101,DCSC Select U16,Practice,2024-09-06,5:30pm,West Field,2001,Tom,Brown,Present
101,DCSC Select U16,Practice,2024-09-06,5:30pm,West Field,2002,Emily,Davis,Present
101,DCSC Select U16,Practice,2024-09-06,5:30pm,West Field,2003,Alex,Martinez,Present
101,DCSC Select U16,Practice,2024-09-06,5:30pm,West Field,2004,Lisa,Garcia,Late
101,DCSC Select U16,Game vs Eagles,2024-09-13,2:00pm,Central Park,2001,Tom,Brown,Present
101,DCSC Select U16,Game vs Eagles,2024-09-13,2:00pm,Central Park,2002,Emily,Davis,Present
101,DCSC Select U16,Game vs Eagles,2024-09-13,2:00pm,Central Park,2003,Alex,Martinez,Absent
101,DCSC Select U16,Game vs Eagles,2024-09-13,2:00pm,Central Park,2004,Lisa,Garcia,Present

